sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-0311,wood brooch traditional,Traditional-style wood brooch with Imigongo pattern inlay.,jewellery,wood,Gasabo,21000,ART-011,True
RW-0267,wood cufflinks artisan,"Handmade wood cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,wood,Kirehe,6000,ART-046,True
RW-0220,sweetgrass tray woven,"Flat woven sweetgrass tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sweetgrass,Nyagatare,35000,ART-006,True
RW-0152,vegetable tanned leather wallet minimalist,"Slim minimalist vegetable tanned leather wallet with card slots and coin pocket, hand-finished edges.",leather,vegetable-tanned-leather,Gasabo,9500,ART-064,True
RW-0077,linen headwrap igitenge,"Vibrant linen headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,linen,Huye,29500,ART-002,True
RW-0300,recycled metal necklace Rwandan design,Statement recycled metal necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,recycled-metal,Gicumbi,46500,ART-032,True
RW-0273,recycled metal cufflinks artisan,"Handmade recycled metal cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,recycled-metal,Kayonza,30500,ART-080,True
RW-0223,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Rwamagana,6500,ART-057,True
RW-0335,wood incense burner,Artisan wood incense burner with ventilation slots and ash catcher tray.,home-decor,wood,Rutsiro,3500,ART-045,True
RW-0278,beads cufflinks artisan,"Handmade beads cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,beads,Musanze,6000,ART-022,True
RW-0227,raffia tray woven,"Flat woven raffia tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,raffia,Nyagatare,29500,ART-078,True
RW-0084,vegetable tanned leather laptop sleeve,"Protective vegetable tanned leather laptop sleeve with soft lining, fits up to 15 inches.",leather,vegetable-tanned-leather,Gakenke,68000,ART-004,True
RW-0207,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Nyarugenge,17500,ART-043,True
RW-0132,vegetable tanned leather handbag artisan,Artisan-made vegetable tanned leather handbag with hand-stitched seams and brass buckle closure.,leather,vegetable-tanned-leather,Nyabihu,37000,ART-041,True
RW-0353,bamboo vase hand-painted,Hand-painted bamboo vase with motifs depicting Rwandan thousand hills landscape.,home-decor,bamboo,Huye,57500,ART-050,True
RW-0039,silk baby outfit set,"Adorable silk baby clothing set with soft Rwandan-printed fabric, safe for infants.",apparel,silk,Gicumbi,38500,ART-068,True
RW-0117,goat leather journal cover,"Beautiful goat leather journal cover with embossed Rwandan patterns, refillable insert.",leather,goat-leather,Karongi,74500,ART-015,True
RW-0133,recycled leather handbag artisan,Artisan-made recycled leather handbag with hand-stitched seams and brass buckle closure.,leather,recycled-leather,Nyabihu,70500,ART-052,True
RW-0122,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Gasabo,10000,ART-011,True
RW-0086,recycled leather sandals Nyamirambo style,"Open-toe recycled leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,recycled-leather,Rusizi,40500,ART-044,True
RW-0183,papyrus wall hanging decorative,Decorative papyrus wall hanging with geometric Imigongo-inspired patterns.,basketry,papyrus,Gicumbi,34000,ART-068,True
RW-0036,denim dress with African print,"Elegant denim dress featuring hand-dyed African prints, perfect for formal and casual occasions.",apparel,denim,Huye,30000,ART-014,True
RW-0010,kitenge fabric blazer Kigali style,Modern kitenge fabric blazer blending contemporary Kigali fashion with traditional textiles.,apparel,kitenge-fabric,Nyarugenge,17000,ART-030,True
RW-0398,recycled glass coasters set of 6,Set of six recycled glass coasters with protective felt backing and cultural patterns.,home-decor,recycled-glass,Rutsiro,53000,ART-060,True
RW-0011,cotton skirt with embroidery,Flowing cotton skirt with hand-stitched embroidery from local artisans.,apparel,cotton,Nyabihu,24000,ART-052,True
RW-0360,banana bark incense burner,Artisan banana bark incense burner with ventilation slots and ash catcher tray.,home-decor,banana-bark,Gasabo,42000,ART-062,True
RW-0245,wood brooch traditional,Traditional-style wood brooch with Imigongo pattern inlay.,jewellery,wood,Rwamagana,3000,ART-035,True
RW-0131,recycled leather journal cover,"Beautiful recycled leather journal cover with embossed Rwandan patterns, refillable insert.",leather,recycled-leather,Nyabihu,9500,ART-071,True
RW-0354,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Huye,25500,ART-050,True
RW-0051,ankara fabric trousers tailored,Custom-tailored ankara fabric trousers with a comfortable fit and African-inspired details.,apparel,ankara-fabric,Rubavu,4000,ART-075,True
RW-0037,Handwoven silk scarf,Soft handwoven silk scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,silk,Nyabihu,32500,ART-067,True
RW-0194,banana leaf placemat set of 4,"Set of four banana leaf placemats with coordinated colour patterns, handwoven.",basketry,banana-leaf,Huye,9000,ART-053,True
RW-0247,beads necklace Rwandan design,Statement beads necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,beads,Muhanga,10500,ART-024,True
RW-0143,vegetable tanned leather belt with brass buckle,"Classic vegetable tanned leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,vegetable-tanned-leather,Kicukiro,75500,ART-059,True
RW-0347,bamboo incense burner,Artisan bamboo incense burner with ventilation slots and ash catcher tray.,home-decor,bamboo,Nyamasheke,9000,ART-009,True
RW-0204,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Gasabo,14000,ART-036,True
RW-0096,recycled leather handbag artisan,Artisan-made recycled leather handbag with hand-stitched seams and brass buckle closure.,leather,recycled-leather,Rubavu,28500,ART-069,True
RW-0359,bamboo coasters set of 6,Set of six bamboo coasters with protective felt backing and cultural patterns.,home-decor,bamboo,Bugesera,55000,ART-023,True
RW-0263,recycled metal cufflinks artisan,"Handmade recycled metal cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,recycled-metal,Kayonza,20000,ART-033,True
RW-0033,ankara fabric shirt with Rwandan motifs,Handcrafted ankara fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,ankara-fabric,Kicukiro,29500,ART-059,True
RW-0314,silver brooch traditional,Traditional-style silver brooch with Imigongo pattern inlay.,jewellery,silver,Rutsiro,34000,ART-055,True
RW-0157,cow leather laptop sleeve,"Protective cow leather laptop sleeve with soft lining, fits up to 15 inches.",leather,cow-leather,Rubavu,53500,ART-069,True
RW-0307,beads brooch traditional,Traditional-style beads brooch with Imigongo pattern inlay.,jewellery,beads,Nyagatare,11000,ART-078,True
RW-0160,cow leather journal cover,"Beautiful cow leather journal cover with embossed Rwandan patterns, refillable insert.",leather,cow-leather,Kicukiro,17500,ART-013,True
RW-0212,banana leaf wine bottle holder,"Unique banana leaf wine bottle holder, a conversation starter and perfect gift.",basketry,banana-leaf,Rusizi,10000,ART-019,True
RW-0072,cotton dress with African print,"Elegant cotton dress featuring hand-dyed African prints, perfect for formal and casual occasions.",apparel,cotton,Rwamagana,39500,ART-040,True
RW-0356,ceramic coasters set of 6,Set of six ceramic coasters with protective felt backing and cultural patterns.,home-decor,ceramic,Gakenke,48500,ART-031,True
RW-0249,recycled metal brooch traditional,Traditional-style recycled metal brooch with Imigongo pattern inlay.,jewellery,recycled-metal,Gakenke,7000,ART-004,True
RW-0365,recycled glass vase hand-painted,Hand-painted recycled glass vase with motifs depicting Rwandan thousand hills landscape.,home-decor,recycled-glass,Huye,20000,ART-025,True
RW-0130,goat leather laptop sleeve,"Protective goat leather laptop sleeve with soft lining, fits up to 15 inches.",leather,goat-leather,Huye,68000,ART-053,True
RW-0099,goat leather laptop sleeve,"Protective goat leather laptop sleeve with soft lining, fits up to 15 inches.",leather,goat-leather,Bugesera,43500,ART-023,True
RW-0019,cotton skirt with embroidery,Flowing cotton skirt with hand-stitched embroidery from local artisans.,apparel,cotton,Bugesera,30500,ART-047,True
RW-0306,brass anklet with charms,brass anklet featuring small charms inspired by Lake Kivu waves.,jewellery,brass,Huye,19500,ART-050,True
RW-0142,recycled leather sandals Nyamirambo style,"Open-toe recycled leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,recycled-leather,Gasabo,66500,ART-054,True
RW-0093,recycled leather journal cover,"Beautiful recycled leather journal cover with embossed Rwandan patterns, refillable insert.",leather,recycled-leather,Nyabihu,47000,ART-071,True
RW-0345,recycled glass serving bowl,"Large recycled glass serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,recycled-glass,Bugesera,9500,ART-039,True
RW-0144,goat leather journal cover,"Beautiful goat leather journal cover with embossed Rwandan patterns, refillable insert.",leather,goat-leather,Huye,70000,ART-025,True
RW-0362,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Kayonza,14500,ART-038,True
RW-0014,cotton shirt with Rwandan motifs,Handcrafted cotton shirt adorned with traditional Rwandan geometric motifs.,apparel,cotton,Rutsiro,14000,ART-034,True
RW-0103,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Rwamagana,48500,ART-057,True
RW-0271,silver brooch traditional,Traditional-style silver brooch with Imigongo pattern inlay.,jewellery,silver,Gasabo,20000,ART-054,True
RW-0250,silver anklet with charms,silver anklet featuring small charms inspired by Lake Kivu waves.,jewellery,silver,Huye,25500,ART-028,True
RW-0104,Handmade goat leather boots,"Durable handmade goat leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,goat-leather,Kayonza,66000,ART-033,True
RW-0196,Agaseke peace basket raffia,"Traditional Rwandan agaseke peace basket woven from raffia, symbolising unity and reconciliation.",basketry,raffia,Kicukiro,17000,ART-013,True
RW-0378,banana bark lamp shade,"Unique banana bark lamp shade casting warm patterned light, handmade by local craftspeople.",home-decor,banana-bark,Bugesera,34500,ART-047,True
RW-0187,sweetgrass wine bottle holder,"Unique sweetgrass wine bottle holder, a conversation starter and perfect gift.",basketry,sweetgrass,Nyabihu,25000,ART-051,True
RW-0068,Handwoven silk scarf,Soft handwoven silk scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,silk,Gakenke,10000,ART-061,True
RW-0312,wood ring geometric,"Geometric wood ring with clean lines, available in multiple sizes.",jewellery,wood,Nyarugenge,9500,ART-043,True
RW-0035,ankara fabric skirt with embroidery,Flowing ankara fabric skirt with hand-stitched embroidery from local artisans.,apparel,ankara-fabric,Rusizi,44500,ART-019,True
RW-0384,clay candle holder set,Set of three clay candle holders with carved geometric patterns.,home-decor,clay,Kayonza,10500,ART-074,True
RW-0056,ankara fabric headwrap igitenge,"Vibrant ankara fabric headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,ankara-fabric,Nyabihu,13500,ART-052,True
RW-0005,Handwoven silk scarf,Soft handwoven silk scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,silk,Bugesera,29000,ART-023,True
RW-0147,recycled leather keychain set,"Set of three recycled leather keychains with hand-stamped initials, great as gifts.",leather,recycled-leather,Kirehe,62000,ART-020,True
RW-0241,brass bracelet layered,"Layered brass bracelet set with adjustable clasp, great for stacking.",jewellery,brass,Nyarugenge,25000,ART-072,True
RW-0254,recycled metal cufflinks artisan,"Handmade recycled metal cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,recycled-metal,Kayonza,4500,ART-080,True
RW-0145,goat leather handbag artisan,Artisan-made goat leather handbag with hand-stitched seams and brass buckle closure.,leather,goat-leather,Gasabo,58000,ART-036,True
RW-0287,silver anklet with charms,silver anklet featuring small charms inspired by Lake Kivu waves.,jewellery,silver,Rusizi,41500,ART-042,True
RW-0025,linen blazer Kigali style,Modern linen blazer blending contemporary Kigali fashion with traditional textiles.,apparel,linen,Nyabihu,38000,ART-052,True
RW-0181,Agaseke peace basket sweetgrass,"Traditional Rwandan agaseke peace basket woven from sweetgrass, symbolising unity and reconciliation.",basketry,sweetgrass,Kayonza,22500,ART-038,True
RW-0111,cow leather belt with brass buckle,"Classic cow leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,cow-leather,Huye,38500,ART-028,True
RW-0393,banana bark coasters set of 6,Set of six banana bark coasters with protective felt backing and cultural patterns.,home-decor,banana-bark,Rutsiro,47000,ART-045,True
RW-0235,Agaseke peace basket raffia,"Traditional Rwandan agaseke peace basket woven from raffia, symbolising unity and reconciliation.",basketry,raffia,Nyamasheke,10000,ART-048,True
RW-0259,brass bracelet layered,"Layered brass bracelet set with adjustable clasp, great for stacking.",jewellery,brass,Gakenke,32500,ART-076,True
RW-0202,raffia fruit bowl,"Elegant raffia fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,raffia,Gakenke,25000,ART-031,True
RW-0047,Handwoven silk scarf,Soft handwoven silk scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,silk,Nyarugenge,27500,ART-030,True
RW-0012,kitenge fabric shirt with Rwandan motifs,Handcrafted kitenge fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,kitenge-fabric,Gasabo,25000,ART-036,True
RW-0325,bamboo serving bowl,"Large bamboo serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,bamboo,Rwamagana,53500,ART-040,True
RW-0158,recycled leather keychain set,"Set of three recycled leather keychains with hand-stamped initials, great as gifts.",leather,recycled-leather,Gasabo,9500,ART-070,True
RW-0277,beads brooch traditional,Traditional-style beads brooch with Imigongo pattern inlay.,jewellery,beads,Rusizi,15500,ART-044,True
RW-0240,sweetgrass storage basket large,"Large sweetgrass storage basket with lid, handwoven by women's cooperative artisans.",basketry,sweetgrass,Gasabo,16000,ART-062,True
RW-0299,silver necklace Rwandan design,Statement silver necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,silver,Rusizi,42500,ART-065,True
RW-0256,silver ring geometric,"Geometric silver ring with clean lines, available in multiple sizes.",jewellery,silver,Musanze,40000,ART-063,True
RW-0282,brass earrings drop style,"Elegant drop-style brass earrings, lightweight and handcrafted.",jewellery,brass,Kayonza,14000,ART-033,True
RW-0098,recycled leather handbag artisan,Artisan-made recycled leather handbag with hand-stitched seams and brass buckle closure.,leather,recycled-leather,Huye,42500,ART-025,True
RW-0305,silver bracelet layered,"Layered silver bracelet set with adjustable clasp, great for stacking.",jewellery,silver,Nyamasheke,22500,ART-009,True
RW-0168,banana leaf fruit bowl,"Elegant banana leaf fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,banana-leaf,Kayonza,2500,ART-033,True
RW-0082,recycled leather belt with brass buckle,"Classic recycled leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,recycled-leather,Nyamasheke,40500,ART-012,True
RW-0128,vegetable tanned leather handbag artisan,Artisan-made vegetable tanned leather handbag with hand-stitched seams and brass buckle closure.,leather,vegetable-tanned-leather,Gakenke,49500,ART-061,True
RW-0215,sweetgrass tray woven,"Flat woven sweetgrass tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sweetgrass,Rusizi,3000,ART-042,True
RW-0197,papyrus storage basket large,"Large papyrus storage basket with lid, handwoven by women's cooperative artisans.",basketry,papyrus,Huye,31000,ART-050,True
RW-0324,bamboo photo frame,"Rustic bamboo photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,bamboo,Rwamagana,16500,ART-058,True
RW-0026,cotton blazer Kigali style,Modern cotton blazer blending contemporary Kigali fashion with traditional textiles.,apparel,cotton,Kayonza,16000,ART-037,True
RW-0050,ankara fabric trousers tailored,Custom-tailored ankara fabric trousers with a comfortable fit and African-inspired details.,apparel,ankara-fabric,Huye,16000,ART-008,True
RW-0073,denim trousers tailored,Custom-tailored denim trousers with a comfortable fit and African-inspired details.,apparel,denim,Nyabihu,15500,ART-051,True
RW-0127,recycled leather wallet minimalist,"Slim minimalist recycled leather wallet with card slots and coin pocket, hand-finished edges.",leather,recycled-leather,Rubavu,60500,ART-075,True
RW-0387,ceramic wall art Imigongo,"Imigongo-style ceramic wall art panel, traditional cow-dung painting technique.",home-decor,ceramic,Gasabo,35000,ART-064,True
RW-0137,goat leather sandals Nyamirambo style,"Open-toe goat leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,goat-leather,Rwamagana,67000,ART-057,True
RW-0063,ankara fabric blazer Kigali style,Modern ankara fabric blazer blending contemporary Kigali fashion with traditional textiles.,apparel,ankara-fabric,Gasabo,19000,ART-054,True
RW-0386,banana bark photo frame,"Rustic banana bark photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,banana-bark,Gicumbi,9000,ART-032,True
RW-0124,cow leather handbag artisan,Artisan-made cow leather handbag with hand-stitched seams and brass buckle closure.,leather,cow-leather,Nyarugenge,78500,ART-030,True
RW-0346,ceramic serving bowl,"Large ceramic serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,ceramic,Gasabo,42500,ART-054,True
RW-0055,kitenge fabric trousers tailored,Custom-tailored kitenge fabric trousers with a comfortable fit and African-inspired details.,apparel,kitenge-fabric,Musanze,4500,ART-063,True
RW-0288,beads earrings drop style,"Elegant drop-style beads earrings, lightweight and handcrafted.",jewellery,beads,Rwamagana,5500,ART-057,True
RW-0264,beads necklace Rwandan design,Statement beads necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,beads,Nyarugenge,33000,ART-001,True
RW-0190,banana leaf placemat set of 4,"Set of four banana leaf placemats with coordinated colour patterns, handwoven.",basketry,banana-leaf,Rutsiro,26000,ART-034,True
RW-0377,recycled glass vase hand-painted,Hand-painted recycled glass vase with motifs depicting Rwandan thousand hills landscape.,home-decor,recycled-glass,Nyabihu,44500,ART-010,True
RW-0205,sisal wine bottle holder,"Unique sisal wine bottle holder, a conversation starter and perfect gift.",basketry,sisal,Kicukiro,7500,ART-059,True
RW-0383,banana bark incense burner,Artisan banana bark incense burner with ventilation slots and ash catcher tray.,home-decor,banana-bark,Nyamasheke,25500,ART-048,True
RW-0164,sweetgrass tray woven,"Flat woven sweetgrass tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sweetgrass,Huye,13500,ART-053,True
RW-0161,raffia storage basket large,"Large raffia storage basket with lid, handwoven by women's cooperative artisans.",basketry,raffia,Bugesera,3500,ART-039,True
RW-0074,cotton skirt with embroidery,Flowing cotton skirt with hand-stitched embroidery from local artisans.,apparel,cotton,Huye,22000,ART-014,True
RW-0175,raffia wall hanging decorative,Decorative raffia wall hanging with geometric Imigongo-inspired patterns.,basketry,raffia,Huye,5000,ART-002,True
RW-0105,cow leather handbag artisan,Artisan-made cow leather handbag with hand-stitched seams and brass buckle closure.,leather,cow-leather,Nyabihu,67500,ART-052,True
RW-0238,sisal wall hanging decorative,Decorative sisal wall hanging with geometric Imigongo-inspired patterns.,basketry,sisal,Nyagatare,21500,ART-077,True
RW-0341,wood incense burner,Artisan wood incense burner with ventilation slots and ash catcher tray.,home-decor,wood,Rwamagana,41000,ART-058,True
RW-0213,papyrus wall hanging decorative,Decorative papyrus wall hanging with geometric Imigongo-inspired patterns.,basketry,papyrus,Bugesera,9000,ART-023,True
RW-0226,raffia tray woven,"Flat woven raffia tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,raffia,Gicumbi,20500,ART-068,True
RW-0081,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Nyarugenge,39000,ART-056,True
RW-0031,denim blazer Kigali style,Modern denim blazer blending contemporary Kigali fashion with traditional textiles.,apparel,denim,Huye,15500,ART-029,True
RW-0388,clay candle holder set,Set of three clay candle holders with carved geometric patterns.,home-decor,clay,Rutsiro,51500,ART-034,True
RW-0233,sweetgrass placemat set of 4,"Set of four sweetgrass placemats with coordinated colour patterns, handwoven.",basketry,sweetgrass,Gakenke,6000,ART-061,True
RW-0153,goat leather laptop sleeve,"Protective goat leather laptop sleeve with soft lining, fits up to 15 inches.",leather,goat-leather,Kicukiro,61000,ART-013,True
RW-0208,sweetgrass wine bottle holder,"Unique sweetgrass wine bottle holder, a conversation starter and perfect gift.",basketry,sweetgrass,Muhanga,15000,ART-073,True
RW-0126,goat leather keychain set,"Set of three goat leather keychains with hand-stamped initials, great as gifts.",leather,goat-leather,Nyabihu,61500,ART-067,True
RW-0248,wood brooch traditional,Traditional-style wood brooch with Imigongo pattern inlay.,jewellery,wood,Nyabihu,5500,ART-052,True
RW-0155,vegetable tanned leather wallet minimalist,"Slim minimalist vegetable tanned leather wallet with card slots and coin pocket, hand-finished edges.",leather,vegetable-tanned-leather,Nyabihu,65000,ART-010,True
RW-0149,vegetable tanned leather keychain set,"Set of three vegetable tanned leather keychains with hand-stamped initials, great as gifts.",leather,vegetable-tanned-leather,Rusizi,29000,ART-042,True
RW-0280,wood earrings drop style,"Elegant drop-style wood earrings, lightweight and handcrafted.",jewellery,wood,Rutsiro,23500,ART-045,True
RW-0322,wood wall art Imigongo,"Imigongo-style wood wall art panel, traditional cow-dung painting technique.",home-decor,wood,Rwamagana,4500,ART-057,True
RW-0255,silver necklace Rwandan design,Statement silver necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,silver,Rwamagana,29500,ART-035,True
RW-0016,linen trousers tailored,Custom-tailored linen trousers with a comfortable fit and African-inspired details.,apparel,linen,Rutsiro,23000,ART-045,True
RW-0317,recycled metal earrings drop style,"Elegant drop-style recycled metal earrings, lightweight and handcrafted.",jewellery,recycled-metal,Musanze,11000,ART-018,True
RW-0214,sisal storage basket large,"Large sisal storage basket with lid, handwoven by women's cooperative artisans.",basketry,sisal,Huye,24500,ART-002,True
RW-0293,brass brooch traditional,Traditional-style brass brooch with Imigongo pattern inlay.,jewellery,brass,Nyamasheke,40500,ART-012,True
RW-0108,vegetable tanned leather belt with brass buckle,"Classic vegetable tanned leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,vegetable-tanned-leather,Nyabihu,53500,ART-067,True
RW-0136,Handmade vegetable tanned leather boots,"Durable handmade vegetable tanned leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,vegetable-tanned-leather,Nyabihu,39000,ART-027,True
RW-0296,wood brooch traditional,Traditional-style wood brooch with Imigongo pattern inlay.,jewellery,wood,Huye,22000,ART-025,True
RW-0348,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Musanze,38500,ART-066,True
RW-0024,silk trousers tailored,Custom-tailored silk trousers with a comfortable fit and African-inspired details.,apparel,silk,Huye,14000,ART-049,True
RW-0042,silk baby outfit set,"Adorable silk baby clothing set with soft Rwandan-printed fabric, safe for infants.",apparel,silk,Rwamagana,19500,ART-058,True
RW-0015,linen blazer Kigali style,Modern linen blazer blending contemporary Kigali fashion with traditional textiles.,apparel,linen,Kayonza,9500,ART-005,True
RW-0022,kitenge fabric trousers tailored,Custom-tailored kitenge fabric trousers with a comfortable fit and African-inspired details.,apparel,kitenge-fabric,Rusizi,28500,ART-042,True
RW-0289,cow horn ring geometric,"Geometric cow horn ring with clean lines, available in multiple sizes.",jewellery,cow-horn,Bugesera,19000,ART-039,True
RW-0173,sisal storage basket large,"Large sisal storage basket with lid, handwoven by women's cooperative artisans.",basketry,sisal,Huye,24500,ART-049,True
RW-0310,silver brooch traditional,Traditional-style silver brooch with Imigongo pattern inlay.,jewellery,silver,Nyabihu,9500,ART-051,True
RW-0320,silver bracelet layered,"Layered silver bracelet set with adjustable clasp, great for stacking.",jewellery,silver,Kayonza,9500,ART-080,True
RW-0338,recycled glass serving bowl,"Large recycled glass serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,recycled-glass,Gakenke,22000,ART-004,True
RW-0088,cow leather belt with brass buckle,"Classic cow leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,cow-leather,Huye,67500,ART-053,True
RW-0371,clay candle holder set,Set of three clay candle holders with carved geometric patterns.,home-decor,clay,Nyarugenge,40500,ART-056,True
RW-0298,brass ring geometric,"Geometric brass ring with clean lines, available in multiple sizes.",jewellery,brass,Huye,23000,ART-014,True
RW-0304,silver anklet with charms,silver anklet featuring small charms inspired by Lake Kivu waves.,jewellery,silver,Rusizi,41500,ART-007,True
RW-0087,Handmade recycled leather boots,"Durable handmade recycled leather boots crafted by Kigali leatherworkers, built for comfort and longevity.",leather,recycled-leather,Nyabihu,29000,ART-067,True
RW-0389,recycled glass incense burner,Artisan recycled glass incense burner with ventilation slots and ash catcher tray.,home-decor,recycled-glass,Huye,41000,ART-028,True
RW-0375,clay coasters set of 6,Set of six clay coasters with protective felt backing and cultural patterns.,home-decor,clay,Rwamagana,4500,ART-058,True
RW-0048,Handwoven denim scarf,Soft handwoven denim scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,denim,Huye,7000,ART-028,True
RW-0274,silver bracelet layered,"Layered silver bracelet set with adjustable clasp, great for stacking.",jewellery,silver,Nyamasheke,29000,ART-012,True
RW-0315,beads necklace Rwandan design,Statement beads necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,beads,Bugesera,21000,ART-047,True
RW-0370,bamboo photo frame,"Rustic bamboo photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,bamboo,Gasabo,48500,ART-011,True
RW-0321,bamboo lamp shade,"Unique bamboo lamp shade casting warm patterned light, handmade by local craftspeople.",home-decor,bamboo,Kirehe,12000,ART-020,True
RW-0391,wood candle holder set,Set of three wood candle holders with carved geometric patterns.,home-decor,wood,Rwamagana,13000,ART-058,True
RW-0141,vegetable tanned leather handbag artisan,Artisan-made vegetable tanned leather handbag with hand-stitched seams and brass buckle closure.,leather,vegetable-tanned-leather,Kirehe,68500,ART-020,True
RW-0381,ceramic serving bowl,"Large ceramic serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,ceramic,Bugesera,25000,ART-047,True
RW-0326,clay serving bowl,"Large clay serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,clay,Nyamasheke,45000,ART-048,True
RW-0101,cow leather sandals Nyamirambo style,"Open-toe cow leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,cow-leather,Karongi,67500,ART-017,True
RW-0129,vegetable tanned leather laptop sleeve,"Protective vegetable tanned leather laptop sleeve with soft lining, fits up to 15 inches.",leather,vegetable-tanned-leather,Rusizi,18000,ART-042,True
RW-0041,denim trousers tailored,Custom-tailored denim trousers with a comfortable fit and African-inspired details.,apparel,denim,Nyabihu,31500,ART-071,True
RW-0146,recycled leather sandals Nyamirambo style,"Open-toe recycled leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,recycled-leather,Nyarugenge,41000,ART-001,True
RW-0372,wood photo frame,"Rustic wood photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,wood,Rusizi,8500,ART-042,True
RW-0178,sweetgrass tray woven,"Flat woven sweetgrass tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sweetgrass,Kayonza,10500,ART-033,True
RW-0116,cow leather belt with brass buckle,"Classic cow leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,cow-leather,Rutsiro,80000,ART-034,True
RW-0364,recycled glass lamp shade,"Unique recycled glass lamp shade casting warm patterned light, handmade by local craftspeople.",home-decor,recycled-glass,Gasabo,32000,ART-070,True
RW-0166,papyrus placemat set of 4,"Set of four papyrus placemats with coordinated colour patterns, handwoven.",basketry,papyrus,Gakenke,33500,ART-031,True
RW-0083,vegetable tanned leather belt with brass buckle,"Classic vegetable tanned leather belt featuring a locally forged brass buckle, adjustable sizing.",leather,vegetable-tanned-leather,Rutsiro,77500,ART-060,True
RW-0085,recycled leather wallet minimalist,"Slim minimalist recycled leather wallet with card slots and coin pocket, hand-finished edges.",leather,recycled-leather,Musanze,32000,ART-063,True
RW-0156,recycled leather laptop sleeve,"Protective recycled leather laptop sleeve with soft lining, fits up to 15 inches.",leather,recycled-leather,Kayonza,55500,ART-080,True
